"code","name","is_reverse"
"SI.SPR.PCAP.ZG ","Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",
"SI.POV.GINI ","GINI index (World Bank estimate)",
,,
,,
,,
,,
,,
,,
,,
"EN.POP.SLUM.UR.ZS ","Population living in slums (% of urban population)",1
"SI.POV.GAPS ","Poverty gap at $1.90 a day (2011 PPP) (%)",1
"SI.POV.NAGP ","Poverty gap at national poverty lines (%)",1
"SI.POV.DDAY ","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)",1
"SI.POV.NAHC ","Poverty headcount ratio at national poverty lines (% of population)",1
"SI.POV.RUGP ","Rural poverty gap at national poverty lines (%)",1
"SI.POV.RUHC ","Rural poverty headcount ratio at national poverty lines (% of rural population)",1
"SI.SPR.PC40 ","Survey mean consumption or income per capita, bottom 40% of population (2011 PPP $ per day)",
"SI.SPR.PCAP ","Survey mean consumption or income per capita, total population (2011 PPP $ per day)",
"SI.POV.URGP ","Urban poverty gap at national poverty lines (%)",1
"SI.POV.URHC ","Urban poverty headcount ratio at national poverty lines (% of urban population)",1
,,
,,
"FS.AST.PRVT.GD.ZS ","Domestic credit to private sector (% of GDP)",
,,
"IC.FRM.BKWC.ZS ","Firms using banks to finance working capital (% of firms)",
"IC.FRM.FEMO.ZS ","Firms with female participation in ownership (% of firms)",
"IC.FRM.FEMM.ZS ","Firms with female top manager (% of firms)",
"TX.VAL.FUEL.ZS.UN ","Fuel exports (% of merchandise exports)",
"TX.VAL.TECH.MF.ZS ","High-technology exports (% of manufactured exports)",
"TX.VAL.TECH.CD ","High-technology exports (current US$)",
"ST.INT.XPND.MP.ZS ","International tourism, expenditures (% of total imports)",
"ST.INT.RCPT.XP.ZS ","International tourism, receipts (% of total exports)",
"IE.PPI.ENGY.CD ","Investment in energy with private participation (current US$)",
"IE.PPI.TELE.CD ","Investment in telecoms with private participation (current US$)",
"IE.PPI.TRAN.CD ","Investment in transport with private participation (current US$)",
"IE.PPI.WATR.CD ","Investment in water and sanitation with private participation (current US$)",
"LP.EXP.DURS.MD ","Lead time to export, median case (days)",
"LP.IMP.DURS.MD ","Lead time to import, median case (days)",
,,
"TX.VAL.MRCH.CD.WT ","Merchandise exports (current US$)",
"TM.VAL.MRCH.CD.WT ","Merchandise imports (current US$)",
"TG.VAL.TOTL.GD.ZS ","Merchandise trade (% of GDP)",
,,
"IC.BUS.NREG ","New businesses registered (number)",
"TX.VAL.MMTL.ZS.UN ","Ores and metals exports (% of merchandise exports)",
"IC.REG.PROC ","Start-up procedures to register a business (number)",
"IC.REG.PROC.FE ","Start-up procedures to register a business, female (number)",
"IC.REG.PROC.MA ","Start-up procedures to register a business, male (number)",
,,
"IC.ELC.TIME ","Time required to get electricity (days)",
"IC.REG.DURS ","Time required to start a business (days)",
"IC.REG.DURS.FE ","Time required to start a business, female (days)",
"IC.REG.DURS.MA ","Time required to start a business, male (days)",
"IC.GOV.DURS.ZS ","Time spent dealing with the requirements of government regulations (% of senior management time)",
"IC.TAX.TOTL.CP.ZS ","Total tax rate (% of commercial profits)",
"IQ.CPA.ECON.XQ ","CPIA economic management cluster average (1=low to 6=high)",
"IQ.CPA.SOCI.XQ ","CPIA policies for social inclusion/equity cluster average (1=low to 6=high)",
"IQ.CPA.PUBS.XQ ","CPIA public sector management and institutions cluster average (1=low to 6=high)",
"IQ.CPA.STRC.XQ ","CPIA structural policies cluster average (1=low to 6=high)",
"GC.DOD.TOTL.GD.ZS ","Central government debt, total (% of GDP)",
"GC.XPN.TOTL.GD.ZS ","Expense (% of GDP)",
,,
"VC.IHR.PSRC.P5 ","Intentional homicides (per 100,000 people)",
"MS.MIL.XPND.GD.ZS ","Military expenditure (% of GDP)",
"MS.MIL.XPND.ZS ","Military expenditure (% of central government expenditure)",
"GC.AST.TOTL.GD.ZS ","Net acquisition of financial assets (% of GDP)",
"GC.LBL.TOTL.GD.ZS ","Net incurrence of liabilities, total (% of GDP)",
"GC.NFN.TOTL.GD.ZS ","Net investment in nonfinancial assets (% of GDP)",
"GC.NLD.TOTL.GD.ZS ","Net lending (+) / net borrowing (-) (% of GDP)",
"SG.NOD.CONS ","Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)",
"SG.GEN.PARL.ZS ","Proportion of seats held by women in national parliaments (%)",
"GC.REV.XGRT.GD.ZS ","Revenue, excluding grants (% of GDP)",
"IQ.SCI.OVRL ","Statistical Capacity score (Overall average)",
,,
"GC.TAX.TOTL.GD.ZS ","Tax revenue (% of GDP)",
"IC.TAX.TOTL.CP.ZS ","Total tax rate (% of commercial profits)",
"BM.GSR.ROYL.CD ","Charges for the use of intellectual property, payments (BoP, current US$)",
"BX.GSR.ROYL.CD ","Charges for the use of intellectual property, receipts (BoP, current US$)",
"TX.VAL.TECH.MF.ZS ","High-technology exports (% of manufactured exports)",
"TX.VAL.TECH.CD ","High-technology exports (current US$)",
"IP.PAT.NRES ","Patent applications, nonresidents",
"IP.PAT.RESD ","Patent applications, residents",
"GB.XPD.RSDV.GD.ZS ","Research and development expenditure (% of GDP)",
"SP.POP.SCIE.RD.P6 ","Researchers in R&amp;D (per million people)",
"IP.JRN.ARTC.SC ","Scientific and technical journal articles",
"SP.POP.TECH.RD.P6 ","Technicians in R&amp;D (per million people)",
"IP.TMK.NRES ","Trademark applications, direct nonresident",
"IP.TMK.RESD ","Trademark applications, direct resident",
"SP.ADO.TFRT ","Adolescent fertility rate (births per 1,000 women ages 15-19)",
"SL.TLF.0714.FE.ZS ","Children in employment, female (% of female children ages 7-14)",
"SL.TLF.0714.MA.ZS ","Children in employment, male (% of male children ages 7-14)",
"SL.TLF.0714.ZS ","Children in employment, total (% of children ages 7-14)",
"SL.TLF.CACT.FE.ZS ","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",
"SL.TLF.CACT.MA.ZS ","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",
"SP.DYN.LE00.FE.IN ","Life expectancy at birth, female (years)",
"SP.DYN.LE00.MA.IN ","Life expectancy at birth, male (years)",
"SH.HIV.1524.FE.ZS ","Prevalence of HIV, female (% ages 15-24)",
"SH.HIV.1524.MA.ZS ","Prevalence of HIV, male (% ages 15-24)",
"SG.GEN.PARL.ZS ","Proportion of seats held by women in national parliaments (%)",
"SM.POP.REFG ","Refugee population by country or territory of asylum",
"SM.POP.REFG.OR ","Refugee population by country or territory of origin",
,,
,,
"SL.UEM.TOTL.FE.ZS ","Unemployment, female (% of female labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.MA.ZS ","Unemployment, male (% of male labor force) (modeled ILO estimate)",
"SL.EMP.VULN.FE.ZS ","Vulnerable employment, female (% of female employment) (modeled ILO estimate)",
"SL.EMP.VULN.MA.ZS ","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",
"SL.TLF.0714.FE.ZS ","Children in employment, female (% of female children ages 7-14)",
"SL.TLF.0714.MA.ZS ","Children in employment, male (% of male children ages 7-14)",
"SL.TLF.0714.ZS ","Children in employment, total (% of children ages 7-14)",
"SL.FAM.WORK.FE.ZS ","Contributing family workers, female (% of female employment) (modeled ILO estimate)",
"SL.FAM.WORK.MA.ZS ","Contributing family workers, male (% of male employment) (modeled ILO estimate)",
"SL.AGR.EMPL.FE.ZS ","Employment in agriculture, female (% of female employment) (modeled ILO estimate)",
"SL.AGR.EMPL.MA.ZS ","Employment in agriculture, male (% of male employment) (modeled ILO estimate)",
"SL.IND.EMPL.FE.ZS ","Employment in industry, female (% of female employment) (modeled ILO estimate)",
"SL.IND.EMPL.MA.ZS ","Employment in industry, male (% of male employment) (modeled ILO estimate)",
"SL.SRV.EMPL.FE.ZS ","Employment in services, female (% of female employment) (modeled ILO estimate)",
"SL.SRV.EMPL.MA.ZS ","Employment in services, male (% of male employment) (modeled ILO estimate)",
"SL.EMP.TOTL.SP.ZS ","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",
"SL.GDP.PCAP.EM.KD ","GDP per person employed (constant 2011 PPP $)",
"SL.TLF.CACT.FE.ZS ","Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",
"SL.TLF.CACT.MA.ZS ","Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",
"SL.TLF.TOTL.FE.ZS ","Labor force, female (% of total labor force)",
"SL.TLF.TOTL.IN ","Labor force, total",
"SL.UEM.TOTL.FE.ZS ","Unemployment, female (% of female labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.MA.ZS ","Unemployment, male (% of male labor force) (modeled ILO estimate)",
"SL.UEM.TOTL.ZS ","Unemployment, total (% of total labor force) (modeled ILO estimate)",
"SL.UEM.1524.FE.ZS ","Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",
"SL.UEM.1524.MA.ZS ","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",
"SL.EMP.VULN.FE.ZS ","Vulnerable employment, female (% of female employment) (modeled ILO estimate)",
"SL.EMP.VULN.MA.ZS ","Vulnerable employment, male (% of male employment) (modeled ILO estimate)",
"SL.EMP.WORK.FE.ZS ","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",
"SL.EMP.WORK.MA.ZS ","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",
"EG.IMP.CONS.ZS ","Energy imports, net (% of energy use)",
"NE.EXP.GNFS.ZS ","Exports of goods and services (% of GDP)",
"TX.VAL.FUEL.ZS.UN ","Fuel exports (% of merchandise exports)",
"TX.VAL.TECH.MF.ZS ","High-technology exports (% of manufactured exports)",
"TX.VAL.TECH.CD ","High-technology exports (current US$)",
"NE.IMP.GNFS.ZS ","Imports of goods and services (% of GDP)",
"ST.INT.XPND.MP.ZS ","International tourism, expenditures (% of total imports)",
"ST.INT.RCPT.XP.ZS ","International tourism, receipts (% of total exports)",
"LP.EXP.DURS.MD ","Lead time to export, median case (days)",
"LP.IMP.DURS.MD ","Lead time to import, median case (days)",
,,
"TX.VAL.MRCH.CD.WT ","Merchandise exports (current US$)",
"TM.VAL.MRCH.CD.WT ","Merchandise imports (current US$)",
"TG.VAL.TOTL.GD.ZS ","Merchandise trade (% of GDP)",
"TT.PRI.MRCH.XD.WD ","Net barter terms of trade index (2000 = 100)",
"TX.VAL.MMTL.ZS.UN ","Ores and metals exports (% of merchandise exports)",
"SH.STA.TRAF.P5 ","Mortality caused by road traffic injury (per 100,000 people)",
"EN.ATM.PM25.MC.M3 ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",
"EN.ATM.PM25.MC.ZS ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",
"EN.POP.DNST ","Population density (people per sq. km of land area)",
"EN.URB.LCTY.UR.ZS ","Population in the largest city (% of urban population)",
"EN.URB.MCTY.TL.ZS ","Population in urban agglomerations of more than 1 million (% of total population)",
"EN.POP.SLUM.UR.ZS ","Population living in slums (% of urban population)",
"SP.URB.TOTL ","Urban population",
"SP.URB.TOTL.IN.ZS ","Urban population (% of total)",
"SI.POV.URGP ","Urban poverty gap at national poverty lines (%)",
"SI.POV.URHC ","Urban poverty headcount ratio at national poverty lines (% of urban population)",
